week,Hour,TPS,,
1,164,3675.462308,8.587528757,9
1,165,3450.945385,8.062956507,9
1,166,3031.980769,7.084067217,8
1,167,2415.561538,5.643835369,6
2,0,2013.249231,4.703853343,5
2,1,1230.653846,2.875359453,3
2,2,447.0538462,1.044518332,2
2,3,331.5230769,0.774586628,1
2,4,531.4415385,1.241685838,2
2,5,935.2969231,2.185273185,3
2,6,1457.696923,3.405833932,4
2,7,2031.332308,4.746103523,5
2,8,2607.981538,6.093414808,7
2,9,3153.487692,7.367961897,8
2,10,3648.763077,8.525147376,9
2,11,4082.756923,9.539151689,10
2,12,4451.450769,10.40058591,11
2,13,4756.853846,11.1141445,12
2,14,5002.984615,11.68921639,12
2,15,5192.856923,12.13284328,13
2,16,5327.475385,12.44737239,13
2,17,5399.807692,12.61637311,13
2,18,5396.793846,12.60933142,13
2,19,5293.318462,12.3675665,13
2,20,5051.206154,11.80188354,12
2,21,4615.203077,10.78318476,11
2,22,3910.967692,9.137774981,10
2,23,2845.070769,6.64736161,7
2,24,2139.830769,4.9996046,5
2,25,987.5369231,2.30732926,3
2,26,434.9984615,1.016351546,2
2,27,323.4861538,0.755808771,1
2,28,517.3769231,1.208824587,2
2,29,912.1907692,2.131286844,3
2,30,1421.530769,3.321333572,4
2,31,1980.096923,4.62639468,5
2,32,2542.681538,5.940844715,6
2,33,3075.127692,7.184877785,8
2,34,3557.343077,8.311549245,9
2,35,3980.286154,9.299734005,10
2,36,4339.938462,10.14004314,11
2,37,4638.309231,10.8371711,11
2,38,4878.412308,11.3981596,12
2,39,5063.261538,11.83005032,12
2,40,5193.861538,12.13519051,13
2,41,5265.189231,12.301844,13
2,42,5262.175385,12.2948023,13
2,43,5161.713846,12.06007908,13
2,44,4924.624615,11.50613228,12
2,45,4499.672308,10.51325306,11
2,46,3813.52,8.910093458,9
2,47,2773.743077,6.480708124,7
2,48,2085.581538,4.872854061,5
2,49,962.4215385,2.248648454,3
2,50,424.9523077,0.992879224,1
2,51,315.4492308,0.737030913,1
2,52,504.3169231,1.178310568,2
2,53,889.0846154,2.077300503,3
2,54,1385.364615,3.236833213,4
2,55,1930.870769,4.511380301,5
2,56,2479.390769,5.792969086,6
2,57,2997.772308,7.004140907,8
2,58,3468.936923,8.104992811,9
2,59,3880.829231,9.067358016,10
2,60,4231.44,9.886542056,10
2,61,4521.773846,10.56489216,11
2,62,4755.849231,11.11179727,12
2,63,4936.68,11.53429907,12
2,64,5064.266154,11.83239756,12
2,65,5133.584615,11.99435658,12
2,66,5130.570769,11.98731488,12
2,67,5032.118462,11.75728613,12
2,68,4802.061538,11.21976995,12
2,69,4387.155385,10.25036305,11
2,70,3718.081538,8.687106397,9
2,71,2704.424615,6.3187491,7
2,72,2033.341538,4.750797986,5
2,73,938.3107692,2.192314881,3
2,74,413.9015385,0.967059669,1
2,75,307.4123077,0.718253055,1
2,76,492.2615385,1.150143782,2
2,77,866.9830769,2.025661395,3
2,78,1351.207692,3.157027318,4
2,79,1882.649231,4.398713157,5
2,80,2417.104615,5.647440689,6
2,81,2923.430769,6.830445722,7
2,82,3382.54,7.903130841,8
2,83,3783.381538,8.839676491,9
2,84,4125.955385,9.640082675,10
2,85,4409.256923,10.30200216,11
2,86,4637.304615,10.83482387,11
2,87,4813.112308,11.2455895,12
2,88,4937.684615,11.5366463,12
2,89,5004.993846,11.69391086,12
2,90,5001.98,11.68686916,12
2,91,4906.541538,11.4638821,12
2,92,4681.507692,10.93810208,11
2,93,4277.652308,9.994514738,10
2,94,3625.656923,8.471161035,9
2,95,2636.110769,6.159137311,7
2,96,1983.110769,4.633436376,5
2,97,915.2046154,2.138328541,3
2,98,403.8553846,0.943587347,1
2,99,299.3753846,0.699475198,1
2,100,480.2061538,1.121976995,2
2,101,844.8815385,1.974022286,2
2,102,1317.050769,3.077221423,4
2,103,1835.432308,4.288393243,5
2,104,2356.827692,5.506606757,6
2,105,2850.093846,6.659097771,7
2,106,3297.147692,7.703616103,8
2,107,3688.947692,8.619036664,9
2,108,4022.48,9.398317757,10
2,109,4298.749231,10.04380661,11
2,110,4520.769231,10.56254493,11
2,111,4693.563077,10.96626887,11
2,112,4814.116923,11.24793674,12
2,113,4880.421538,11.40285406,12
2,114,4877.407692,11.39581236,12
2,115,4783.978462,11.17751977,12
2,116,4564.972308,10.66582315,11
2,117,4170.158462,9.743360893,10
2,118,3534.236923,8.257562904,9
2,119,2570.810769,6.006567217,7
2,120,1486.830769,3.473903666,4
2,121,686.1523077,1.603159597,2
2,122,302.3892308,0.706516894,1
2,123,225.0338462,0.525780014,1
2,124,359.6523077,0.84030913,1
2,125,633.9123077,1.481103523,2
2,126,987.5369231,2.30732926,3
2,127,1376.323077,3.215708124,4
2,128,1767.118462,4.128781453,5
2,129,2137.821538,4.994910136,5
2,130,2473.363077,5.778885694,6
2,131,2766.710769,6.464277498,7
2,132,3016.86,7.048738318,8
2,133,3223.810769,7.532268152,8
2,134,3390.576923,7.921908699,8
2,135,3520.172308,8.224701654,9
2,136,3610.587692,8.435952551,9
2,137,3659.813846,8.55096693,9
2,138,3657.804615,8.546272465,9
2,139,3587.481538,8.38196621,9
2,140,3423.729231,7.999367362,8
2,141,3128.372308,7.309281093,8
2,142,2651.18,6.194345794,7
2,143,1927.856923,4.504338605,5
2,144,1586.287692,3.706279654,4
2,145,732.3646154,1.711132279,2
2,146,322.4815385,0.753461539,1
2,147,239.0984615,0.558641265,1
2,148,383.7630769,0.896642703,1
2,149,676.1061538,1.579687275,2
2,150,1053.841538,2.462246584,3
2,151,1468.747692,3.431653486,4
2,152,1885.663077,4.405754853,5
2,153,2280.476923,5.32821711,6
2,154,2638.12,6.163831776,7
2,155,2951.56,6.896168224,7
2,156,3217.783077,7.518184759,8
2,157,3438.798462,8.034575846,9
2,158,3616.615385,8.450035946,9
2,159,3754.247692,8.771606757,9
2,160,3851.695385,8.999288283,9
2,161,3903.935385,9.121344357,10
2,162,3901.926154,9.116649893,10
2,163,3827.584615,8.942954708,9
2,164,3683.924615,8.607300502,9
2,165,3458.890769,8.081520488,9
2,166,3038.961538,7.100377425,8
2,167,2421.123077,5.656829619,6
3,0,2017.873846,4.714658519,5
3,1,1233.480769,2.881964414,3
3,2,448.0807692,1.046917685,2
3,3,332.2846154,0.776365924,1
3,4,532.6623077,1.244538102,2
3,5,937.4453846,2.190292955,3
3,6,1461.045385,3.413657442,4
3,7,2035.998462,4.757005752,5
3,8,2613.972308,6.107411935,7
3,9,3160.731538,7.384886771,8
3,10,3657.144615,8.544730409,9
3,11,4092.135385,9.561063984,10
3,12,4461.676154,10.424477,11
3,13,4767.780769,11.13967469,12
3,14,5014.476923,11.71606758,12
3,15,5204.785385,12.16071352,13
3,16,5339.713077,12.47596513,13
3,17,5412.211538,12.64535406,13
3,18,5409.190769,12.63829619,13
3,19,5305.477692,12.39597592,13
3,20,5062.809231,11.82899353,12
3,21,4625.804615,10.80795471,11
3,22,3919.951538,9.158765276,10
3,23,2851.606154,6.662631201,7
3,24,2144.746154,5.011089145,6
3,25,989.8053846,2.312629403,3
3,26,435.9976923,1.018686197,2
3,27,324.2292308,0.757544932,1
3,28,518.5653846,1.211601366,2
3,29,914.2861538,2.136182602,3
3,30,1424.796154,3.328962977,4
3,31,1984.645385,4.637021928,5
3,32,2548.522308,5.954491374,6
3,33,3082.191538,7.201382098,8
3,34,3565.514615,8.330641624,9
3,35,3989.429231,9.321096334,10
3,36,4349.907692,10.16333573,11
3,37,4648.963846,10.86206506,11
3,38,4889.618462,11.4243422,12
3,39,5074.892308,11.85722502,12
3,40,5205.792308,12.16306614,13
3,41,5277.283846,12.33010244,13
3,42,5274.263077,12.32304457,13
3,43,5173.570769,12.08778217,13
3,44,4935.936923,11.5325629,12
3,45,4510.008462,10.53740295,11
3,46,3822.28,8.930560748,9
3,47,2780.114615,6.495594895,7
3,48,2090.372308,4.884047449,5
3,49,964.6323077,2.253813803,3
3,50,425.9284615,0.995159957,1
3,51,316.1738462,0.73872394,1
3,52,505.4753846,1.181017254,2
3,53,891.1269231,2.08207225,3
3,54,1388.546923,3.244268512,4
3,55,1935.306154,4.52174335,5
3,56,2485.086154,5.806276061,6
3,57,3004.658462,7.020230051,8
3,58,3476.905385,8.123610713,9
3,59,3889.743846,9.088186556,10
3,60,4241.16,9.909252336,10
3,61,4532.160769,10.58916068,11
3,62,4766.773846,11.13732207,12
3,63,4948.02,11.56079439,12
3,64,5075.899231,11.85957764,12
3,65,5145.376923,12.0219087,13
3,66,5142.356154,12.01485083,13
3,67,5043.677692,11.78429367,12
3,68,4813.092308,11.24554278,12
3,69,4397.233077,10.27390906,11
3,70,3726.622308,8.707061467,9
3,71,2710.636923,6.333263839,7
3,72,2038.012308,4.761711,5
3,73,940.4661538,2.197350827,3
3,74,414.8523077,0.969281093,1
3,75,308.1184615,0.719902947,1
3,76,493.3923077,1.152785766,2
3,77,868.9746154,2.030314522,3
3,78,1354.311538,3.164279294,4
3,79,1886.973846,4.408817397,5
3,80,2422.656923,5.660413371,6
3,81,2930.146154,6.846135874,7
3,82,3390.31,7.921285047,8
3,83,3792.072308,8.859982028,9
3,84,4135.433077,9.662226815,10
3,85,4419.385385,10.32566679,11
3,86,4647.956923,10.85971244,11
3,87,4824.168462,11.27142164,12
3,88,4949.026923,11.56314702,12
3,89,5016.490769,11.72077282,12
3,90,5013.47,11.71371495,12
3,91,4917.812308,11.49021567,12
3,92,4692.261538,10.96322789,11
3,93,4287.478462,10.01747304,11
3,94,3633.985385,8.490620058,9
3,95,2642.166154,6.173285407,7
3,96,1987.666154,4.644079799,5
3,97,917.3069231,2.143240475,3
3,98,404.7830769,0.945754853,1
3,99,300.0630769,0.701081955,1
3,100,481.3092308,1.124554278,2
3,101,846.8223077,1.978556794,2
3,102,1320.076154,3.084290079,4
3,103,1839.648462,4.29824407,5
3,104,2362.241538,5.51925593,6
3,105,2856.640769,6.67439432,7
3,106,3304.721538,7.721312005,8
3,107,3697.421538,8.638835369,9
3,108,4031.72,9.419906542,10
3,109,4308.623846,10.06687814,11
3,110,4531.153846,10.58680805,11
3,111,4704.344615,10.99145938,11
3,112,4825.175385,11.27377426,12
3,113,4891.632308,11.42904745,12
3,114,4888.611538,11.42198957,12
3,115,4794.967692,11.20319554,12
3,116,4575.458462,10.69032351,11
3,117,4179.737692,9.765742271,10
3,118,3542.355385,8.276531273,9
3,119,2576.716154,6.020364846,7
3,120,1490.246154,3.481883537,4
3,121,687.7284615,1.6068422,2
3,122,303.0838462,0.708139828,1
3,123,225.5507692,0.526987779,1
3,124,360.4784615,0.842239396,1
3,125,635.3684615,1.484505751,2
3,126,989.8053846,2.312629403,3
3,127,1379.484615,3.223094895,4
3,128,1771.177692,4.138265636,5
3,129,2142.732308,5.006383897,6
3,130,2479.044615,5.792160315,6
3,131,2773.066154,6.479126528,7
3,132,3023.79,7.064929907,8
3,133,3231.216154,7.549570453,8
3,134,3398.365385,7.94010604,8
3,135,3528.258462,8.243594537,9
3,136,3618.881538,8.455330696,9
3,137,3668.220769,8.570609273,9
3,138,3666.206923,8.565904026,9
3,139,3595.722308,8.401220346,9
3,140,3431.593846,8.017742631,9
3,141,3135.558462,7.326071173,8
3,142,2657.27,6.208574766,7
3,143,1932.285385,4.514685479,5
3,144,1589.931538,3.714793313,4
3,145,734.0469231,1.715062904,2
3,146,323.2223077,0.755192308,1
3,147,239.6476923,0.559924515,1
3,148,384.6446154,0.898702372,1
3,149,677.6592308,1.58331596,2
3,150,1056.262308,2.467902589,3
3,151,1472.121538,3.439536304,4
3,152,1889.994615,4.415875269,5
3,153,2285.715385,5.340456507,6
3,154,2644.18,6.177990654,7
3,155,2958.34,6.912009346,7
3,156,3225.174615,7.535454708,8
3,157,3446.697692,8.053031991,9
3,158,3624.923077,8.469446442,9
3,159,3762.871538,8.79175593,9
3,160,3860.543077,9.01996046,10
3,161,3912.903077,9.142296909,10
3,162,3910.889231,9.137591661,10
3,163,3836.376923,8.963497484,9
3,164,3692.386923,8.62707225,9
3,165,3466.836154,8.100084472,9
3,166,3045.942308,7.116687636,8
3,167,2426.684615,5.669823867,6
4,0,2022.498462,4.725463696,5
4,1,1236.307692,2.888569374,3
4,2,449.1076923,1.049317038,2
4,3,333.0461538,0.778145219,1
4,4,533.8830769,1.247390367,2
4,5,939.5938462,2.195312725,3
4,6,1464.393846,3.421480949,4
4,7,2040.664615,4.767907979,5
4,8,2619.963077,6.121409058,7
4,9,3167.975385,7.401811647,8
4,10,3665.526154,8.564313444,9
4,11,4101.513846,9.582976276,10
4,12,4471.901538,10.44836808,11
4,13,4778.707692,11.16520489,12
4,14,5025.969231,11.74291876,12
4,15,5216.713846,12.18858375,13
4,16,5351.950769,12.50455787,13
4,17,5424.615385,12.67433501,13
4,18,5421.587692,12.66726096,13
4,19,5317.636923,12.42438533,13
4,20,5074.412308,11.85610352,12
4,21,4636.406154,10.83272466,11
4,22,3928.935385,9.179755572,10
4,23,2858.141538,6.67790079,7
4,24,2149.661538,5.022573687,6
4,25,992.0738462,2.317929547,3
4,26,436.9969231,1.021020848,2
4,27,324.9723077,0.759281093,1
4,28,519.7538462,1.214378145,2
4,29,916.3815385,2.141078361,3
4,30,1428.061538,3.336592379,4
4,31,1989.193846,4.647649173,5
4,32,2554.363077,5.96813803,6
4,33,3089.255385,7.217886414,8
4,34,3573.686154,8.349734005,9
4,35,3998.572308,9.342458664,10
4,36,4359.876923,10.18662832,11
4,37,4659.618462,10.88695902,11
4,38,4900.824615,11.4505248,12
4,39,5086.523077,11.88439971,12
4,40,5217.723077,12.19094177,13
4,41,5289.378462,12.35836089,13
4,42,5286.350769,12.35128684,13
4,43,5185.427692,12.11548526,13
4,44,4947.249231,11.55899353,12
4,45,4520.344615,10.56155284,11
4,46,3831.04,8.951028037,9
4,47,2786.486154,6.510481668,7
4,48,2095.163077,4.895240834,5
4,49,966.8430769,2.258979152,3
4,50,426.9046154,0.99744069,1
4,51,316.8984615,0.740416966,1
4,52,506.6338462,1.18372394,2
4,53,893.1692308,2.086843997,3
4,54,1391.729231,3.251703811,4
4,55,1939.741538,4.532106397,5
4,56,2490.781538,5.819583033,6
4,57,3011.544615,7.036319194,8
4,58,3484.873846,8.142228612,9
4,59,3898.658462,9.109015098,10
4,60,4250.88,9.931962617,10
4,61,4542.547692,10.61342919,11
4,62,4777.698462,11.16284687,12
4,63,4959.36,11.58728972,12
4,64,5087.532308,11.88675773,12
4,65,5157.169231,12.04946082,13
4,66,5154.141538,12.04238677,13
4,67,5055.236923,11.81130122,12
4,68,4824.123077,11.2713156,12
4,69,4407.310769,10.29745507,11
4,70,3735.163077,8.727016535,9
4,71,2716.849231,6.347778577,7
4,72,2042.683077,4.772624012,5
4,73,942.6215385,2.202386772,3
4,74,415.8030769,0.971502516,1
4,75,308.8246154,0.72155284,1
4,76,494.5230769,1.15542775,2
4,77,870.9661538,2.034967649,3
4,78,1357.415385,3.171531273,4
4,79,1891.298462,4.41892164,5
4,80,2428.209231,5.673386054,6
4,81,2936.861538,6.861826023,7
4,82,3398.08,7.939439252,8
4,83,3800.763077,8.880287563,9
4,84,4144.910769,9.684370956,10
4,85,4429.513846,10.34933142,11
4,86,4658.609231,10.88460101,11
4,87,4835.224615,11.29725377,12
4,88,4960.369231,11.58964774,12
4,89,5027.987692,11.74763479,12
4,90,5024.96,11.74056075,12
4,91,4929.083077,11.51654925,12
4,92,4703.015385,10.9883537,11
4,93,4297.304615,10.04043134,11
4,94,3642.313846,8.510079079,9
4,95,2648.221538,6.1874335,7
4,96,1992.221538,4.65472322,5
4,97,919.4092308,2.148152408,3
4,98,405.7107692,0.947922358,1
4,99,300.7507692,0.702688713,1
4,100,482.4123077,1.12713156,2
4,101,848.7630769,1.983091301,2
4,102,1323.101538,3.091358734,4
4,103,1843.864615,4.308094895,5
4,104,2367.655385,5.531905105,6
4,105,2863.187692,6.689690869,7
4,106,3312.295385,7.739007909,8
